"Date","Exercise","Sets","Reps","Weight","isWarmup","Note"
"2019-04-29","Back Squat",1,6,45,true,""
"2019-04-29","Back Squat",1,6,45,true,""
"2019-04-29","Back Squat",1,6,75,"",""
"2019-04-29","Back Squat",1,6,75,"",""
"2019-04-29","Back Squat",1,6,75,"",""
"2019-04-29","Back Squat",1,6,75,"",""
"2019-04-29","Back Squat",1,6,75,"",""
"2019-04-29","Lateral Step Up",1,7,0,"",""
"2019-04-29","Lateral Step Up",1,7,0,"",""
"2019-04-29","Lateral Step Up",1,7,0,"",""
"2019-04-29","Lateral Step Up",1,7,0,"",""
"2019-04-29","Lateral Step Up",1,7,0,"",""
"2019-04-29","Single Leg Glute Bridge",1,10,0,"",""
"2019-04-29","Single Leg Glute Bridge",1,10,0,"",""
"2019-04-29","Single Leg Glute Bridge",1,10,0,"",""
"2019-04-29","Single Leg Glute Bridge",1,10,0,"",""
"2019-04-29","Dumbbell Lunge",1,5,10,"",""
"2019-04-29","Dumbbell Lunge",1,5,10,"",""
"2019-04-29","Dumbbell Lunge",1,5,10,"",""
"2019-04-29","Straight Leg Kickback",1,15,0,"",""
"2019-04-29","Straight Leg Kickback",1,15,0,"",""
"2019-04-29","Straight Leg Kickback",1,15,0,"",""
"2019-04-29","Straight Leg Kickback",1,15,0,"",""
"2019-04-29","Walking Lunge",1,9,0,"",""
"2019-04-29","Walking Lunge",1,9,0,"",""
"2019-04-29","Walking Lunge",1,9,0,"",""
"2019-04-29","Walking Lunge",1,9,0,"",""
"2019-04-29","Toe Touchers",1,12,0,"",""
"2019-04-29","Toe Touchers",1,12,0,"",""
"2019-04-29","Toe Touchers",1,12,0,"",""
"2019-04-29","Tuck Crunch",1,10,0,"",""
"2019-04-29","Tuck Crunch",1,10,0,"",""
"2019-04-29","Tuck Crunch",1,10,0,"",""
"2019-04-26","Dumbbell Bench Press",1,10,30,"",""
"2019-04-26","Dumbbell Bench Press",1,10,30,"",""
"2019-04-26","Dumbbell Bench Press",1,10,30,"",""
"2019-04-26","Skullcrusher",1,8,30,"",""
"2019-04-26","Skullcrusher",1,8,30,"",""
"2019-04-26","Skullcrusher",1,8,30,"",""
"2019-04-26","Skullcrusher",1,8,30,"",""
"2019-04-26","Push Up on Knees",1,6,0,"",""
"2019-04-26","Push Up on Knees",1,6,0,"",""
"2019-04-26","Push Up on Knees",1,6,0,"",""
"2019-04-26","Push Up on Knees",1,6,0,"",""
"2019-04-26","Push Up on Knees",1,6,0,"",""
"2019-04-26","Dumbbell Shoulder Press",1,12,15,"",""
"2019-04-26","Dumbbell Shoulder Press",1,12,15,"",""
"2019-04-26","Dumbbell Shoulder Press",1,12,15,"",""
"2019-04-26","Dumbbell Skullcrusher",1,10,10,"",""
"2019-04-26","Dumbbell Skullcrusher",1,10,10,"",""
"2019-04-26","Dumbbell Skullcrusher",1,10,10,"",""
"2019-04-26","Back Flies",1,10,10,"",""
"2019-04-26","Back Flies",1,10,10,"",""
"2019-04-26","Back Flies",1,10,10,"",""
"2019-04-26","Flutter Kicks",1,17,0,"",""
"2019-04-26","Flutter Kicks",1,17,0,"",""
"2019-04-26","Flutter Kicks",1,17,0,"",""
"2019-04-26","Flutter Kicks",1,17,0,"",""
"2019-04-26","Jackknife Sit-Up",1,7,0,"",""
"2019-04-26","Jackknife Sit-Up",1,7,0,"",""
"2019-04-26","Jackknife Sit-Up",1,7,0,"",""
"2019-04-26","Jackknife Sit-Up",1,7,0,"",""
"2019-04-24","Back Squat",1,8,65,"",""
"2019-04-24","Back Squat",1,8,65,"",""
"2019-04-24","Back Squat",1,8,65,"",""
"2019-04-24","Back Squat",1,8,65,"",""
"2019-04-24","Lunge Jump",1,6,0,"",""
"2019-04-24","Lunge Jump",1,6,0,"",""
"2019-04-24","Lunge Jump",1,6,0,"",""
"2019-04-24","Mountain Climbers",1,9,0,"",""
"2019-04-24","Mountain Climbers",1,9,0,"",""
"2019-04-24","Mountain Climbers",1,9,0,"",""
"2019-04-24","Step Up",1,10,0,"",""
"2019-04-24","Step Up",1,10,0,"",""
"2019-04-24","Step Up",1,10,0,"",""
"2019-04-24","Leg Pull-In",1,20,0,"",""
"2019-04-24","Leg Pull-In",1,20,0,"",""
"2019-04-24","Leg Pull-In",1,20,0,"",""
"2019-04-24","Frog Pump",1,20,0,"",""
"2019-04-24","Frog Pump",1,20,0,"",""
"2019-04-24","Frog Pump",1,20,0,"",""
"2019-04-24","Dumbbell Bulgarian Split Squat",1,8,7,"",""
"2019-04-24","Dumbbell Bulgarian Split Squat",1,8,7,"",""
"2019-04-24","Dumbbell Bulgarian Split Squat",1,8,7,"",""
"2019-04-24","Scissor Kick",1,20,0,"",""
"2019-04-24","Scissor Kick",1,20,0,"",""
"2019-04-24","Scissor Kick",1,20,0,"",""
"2019-04-22","Dumbbell Bicep Curl",1,10,15,"",""
"2019-04-22","Dumbbell Bicep Curl",1,10,15,"",""
"2019-04-22","Dumbbell Bicep Curl",1,10,15,"",""
"2019-04-22","Dumbbell Row",1,6,25,"",""
"2019-04-22","Dumbbell Row",1,6,25,"",""
"2019-04-22","Dumbbell Row",1,6,25,"",""
"2019-04-22","Dumbbell Row",1,6,25,"",""
