"Date","Exercise","Sets","Reps","Weight","isWarmup","Note"
"2019-01-27","Dumbbell Pullover",1,12,17,"",""
"2019-01-27","Dumbbell Pullover",1,12,17,"",""
"2019-01-27","Dumbbell Pullover",1,12,17,"",""
"2019-01-27","Tate Press",1,12,7,"",""
"2019-01-27","Tate Press",1,12,10,"",""
"2019-01-27","Tate Press",1,12,10,"",""
"2019-01-27","Side Laterals to Front Raise",1,10,10,"",""
"2019-01-27","Side Laterals to Front Raise",1,10,10,"",""
"2019-01-27","Side Laterals to Front Raise",1,10,10,"",""
"2019-01-27","Dumbbell Incline Fly",1,10,15,"",""
"2019-01-27","Dumbbell Incline Fly",1,10,17,"",""
"2019-01-27","Dumbbell Incline Fly",1,12,17,"",""
"2019-01-27","Dumbbell Floor Press",1,12,17,"",""
"2019-01-27","Dumbbell Floor Press",1,12,20,"",""
"2019-01-27","Dumbbell Floor Press",1,14,20,"",""
"2019-01-27","Seated Dumbbell Rear Delt Raise",1,12,5,"",""
"2019-01-27","Seated Dumbbell Rear Delt Raise",1,10,7,"",""
"2019-01-27","Seated Dumbbell Rear Delt Raise",1,12,5,"",""
"2019-01-27","Push Up on Knees",1,10,0,"",""
"2019-01-27","Push Up on Knees",1,10,0,"",""
"2019-01-27","Push Up on Knees",1,7,0,"",""
"2019-01-27","Flutter Kicks",1,30,0,"",""
"2019-01-27","Flutter Kicks",1,30,0,"",""
"2019-01-24","Side Lunge",1,9,0,"",""
"2019-01-24","Side Lunge",1,9,0,"",""
"2019-01-24","Side Lunge",1,9,0,"",""
"2019-01-24","Single Leg Glute Bridge",1,12,0,"",""
"2019-01-24","Single Leg Glute Bridge",1,12,0,"",""
"2019-01-24","Single Leg Glute Bridge",1,12,0,"",""
"2019-01-24","Power Clean",1,12,45,"",""
"2019-01-24","Power Clean",1,10,45,"",""
"2019-01-24","Power Clean",1,10,45,"",""
"2019-01-24","Bulgarian Split Squat",1,15,10,"",""
"2019-01-24","Bulgarian Split Squat",1,15,10,"",""
"2019-01-24","Pulse Lunges",1,18,0,"",""
"2019-01-24","Pulse Lunges",1,18,0,"",""
"2019-01-24","Pulse Lunges",1,18,0,"",""
